lane,model,language,condition,n,arg_extraction,decode_seconds_median,delta_nll_per_char,delta_nll_per_char_hi,delta_nll_per_char_lo,delta_nll_per_token,device,e2e_seconds_median,e2e_seconds_p95,fertility_tok_per_char,input_tokens_median,language_compliance,mcnemar_p,model_tokens_per_program,multi_op,n_parameters,nll_per_char,nll_per_token,nll_per_utf8_byte,nll_seconds_total,op_selection,output_tok_per_s_median,output_tokens_median,parse_validity,peak_rss_bytes,peak_vram_allocated_bytes,precision,prefill_seconds_median,rd_ci95_hi,rd_ci95_lo,risk_difference_vs_identity,selector_resolution,semantic_accuracy,semantic_correct_k,semantic_wilson_hi,semantic_wilson_lo,token_perplexity,vacuous_rate
A,Qwen/Qwen2.5-Coder-0.5B,identity,nll,62,,,,,,,cuda,,,0.3511072261072261,,,,19.43548387096774,,494032768,1.331437070886572,3.997805798147607,1.331437070886572,1.489762,,,,,,,fp32,,,,,,,,,,54.4784820071185,
A,Qwen/Qwen2.5-Coder-0.5B,alpha,nll,62,,,0.5524632473671325,0.6005431656146689,0.5059033108039876,1.2856138913909776,cuda,,,0.37503723562704794,,,,20.306451612903224,,494032768,1.8839003182537044,5.283419689538585,1.8839003182537044,1.452387,,,,,,,fp32,,,,,,,,,,197.04254887199633,
A,Qwen/Qwen2.5-Coder-0.5B,beta,nll,62,,,1.72351232719866,1.8125684831273838,1.6256247802717105,2.450279278253694,cuda,,,0.49184149184149184,,,,27.225806451612904,,494032768,3.054949398085232,6.448085076401301,3.054949398085232,1.470227,,,,,,,fp32,,,,,,,,,,631.4918755589541,
A,Qwen/Qwen2.5-Coder-0.5B,gamma,nll,62,,,2.818855602682216,2.991948833495771,2.6292983291301946,2.3384795382698336,cuda,,,0.6802278275020341,,,,26.967741935483872,,494032768,4.150292673568788,6.336285336417441,3.0343305745485067,1.470446,,,,,,,fp32,,,,,,,,,,564.6947594607324,
A,Qwen/Qwen2.5-Coder-1.5B,identity,nll,62,,,,,,,cuda,,,0.3511072261072261,,,,19.43548387096774,,1543714304,1.2722854653160611,3.8201957278781467,1.2722854653160611,1.786254,,,,,,,fp32,,,,,,,,,,45.61313520936991,
A,Qwen/Qwen2.5-Coder-1.5B,alpha,nll,62,,,0.6311164620467211,0.6777997609277535,0.5867027937458502,1.5179164443498068,cuda,,,0.37503723562704794,,,,20.306451612903224,,1543714304,1.9034019273627822,5.338112172227953,1.9034019273627822,1.778288,,,,,,,fp32,,,,,,,,,,208.11944552865225,
A,Qwen/Qwen2.5-Coder-1.5B,beta,nll,62,,,1.7079124945304887,1.790083519818677,1.6158668793353839,2.470111405082099,cuda,,,0.49184149184149184,,,,27.225806451612904,,1543714304,2.98019795984655,6.290307132960246,2.98019795984655,1.794911,,,,,,,fp32,,,,,,,,,,539.318946274578,
A,Qwen/Qwen2.5-Coder-1.5B,gamma,nll,62,,,3.1218423129382,3.3056198856774826,2.9225257661541413,2.88835463171749,cuda,,,0.6802278275020341,,,,26.967741935483872,,1543714304,4.394127778254261,6.708550359595637,3.212601451204335,1.792212,,,,,,,fp32,,,,,,,,,,819.3819688776531,
A,Qwen/Qwen2.5-Coder-3B,identity,nll,62,,,,,,,cuda,,,0.3511072261072261,,,,19.43548387096774,,3085938688,1.2490715291394499,3.75049299038197,1.2490715291394499,2.509173,,,,,,,fp32,,,,,,,,,,42.54204965252061,
A,Qwen/Qwen2.5-Coder-3B,alpha,nll,62,,,0.6530052255740206,0.6990616547960777,0.6088532803763105,1.5839027202054319,cuda,,,0.37503723562704794,,,,20.306451612903224,,3085938688,1.9020767547134705,5.334395710587402,1.9020767547134705,2.525542,,,,,,,fp32,,,,,,,,,,207.34741309576796,
A,Qwen/Qwen2.5-Coder-3B,beta,nll,62,,,1.6630503014251068,1.7471719603126579,1.570141600705024,2.3961257811417433,cuda,,,0.49184149184149184,,,,27.225806451612904,,3085938688,2.9121218305645566,6.1466187715237135,2.9121218305645566,2.753835,,,,,,,fp32,,,,,,,,,,467.1352225436546,
A,Qwen/Qwen2.5-Coder-3B,gamma,nll,62,,,2.6647054427877555,2.83214885600275,2.484928478597783,2.2247019145851543,cuda,,,0.6802278275020341,,,,26.967741935483872,,3085938688,3.9137769719272053,5.9751949049671245,2.8614110044607584,2.745904,,,,,,,fp32,,,,,,,,,,393.5447974524117,
A,Qwen/Qwen2.5-Coder-7B [cpu],identity,nll,62,,,,,,,cpu,,,0.3511072261072261,,,,19.43548387096774,,7615616512,1.267482035643571,3.805772831433714,1.267482035643571,54.254469,,,,,,,fp32,,,,,,,,,,44.95998317814174,
A,Qwen/Qwen2.5-Coder-7B [cpu],alpha,nll,62,,,0.5870798124102348,0.6354920085074129,0.5409177523868944,1.3953667875442521,cpu,,,0.37503723562704794,,,,20.306451612903224,,7615616512,1.8545618480538058,5.201139618977966,1.8545618480538058,57.055549,,,,,,,fp32,,,,,,,,,,181.4789409188765,
A,Qwen/Qwen2.5-Coder-7B [cpu],beta,nll,62,,,1.5910279239530052,1.6659364431086867,1.5093652223568257,2.2276873046889483,cpu,,,0.49184149184149184,,,,27.225806451612904,,7615616512,2.858509959596576,6.033460136122662,2.858509959596576,68.820242,,,,,,,fp32,,,,,,,,,,417.1559514274693,
A,Qwen/Qwen2.5-Coder-7B [cpu],gamma,nll,62,,,2.7822458923256077,2.9681722160290525,2.585179579995824,2.3769794958633312,cpu,,,0.6802278275020341,,,,26.967741935483872,,7615616512,4.049727927969179,6.182752327297045,2.960806438711553,69.240948,,,,,,,fp32,,,,,,,,,,484.3231393838625,
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,identity,bare,9,0.5555555555555556,0.433609,,,,,cuda,0.461574,0.7364257999999999,,715.0,1.0,,,0.6666666666666666,,,,,,0.7777777777777778,46.095,20.0,1.0,,,fp16,0.027627,,,,0.3333333333333333,0.1111111111111111,1,0.434999705576656,0.019890887638544907,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,alpha,bare,9,0.3333333333333333,0.460573,,,,,cuda,0.487711,0.7021605999999998,,719.0,1.0,1.0,,0.1111111111111111,,,,,,0.1111111111111111,45.7313,21.0,0.8888888888888888,,,fp16,0.027453,0.0,-0.3333333333333333,-0.1111111111111111,0.2222222222222222,0.0,0,0.2991450484195441,0.0,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,beta,bare,9,0.4444444444444444,0.548386,,,,,cuda,0.580495,0.8449243999999999,,788.0,1.0,1.0,,0.6666666666666666,,,,,,0.6666666666666666,45.5883,25.0,1.0,,,fp16,0.032109,0.0,-0.3333333333333333,-0.1111111111111111,0.1111111111111111,0.0,0,0.2991450484195441,0.0,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,gamma,bare,9,0.2222222222222222,0.484942,,,,,cuda,0.519712,0.7541963999999999,,807.0,1.0,1.0,,0.1111111111111111,,,,,,0.1111111111111111,45.3662,22.0,1.0,,,fp16,0.032837,0.0,-0.3333333333333333,-0.1111111111111111,0.1111111111111111,0.0,0,0.2991450484195441,0.0,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,identity,scaffolded,9,0.4444444444444444,0.550985,,,,,cuda,0.590449,9.132299,,1170.0,1.0,,,0.3333333333333333,,,,,,0.4444444444444444,45.3733,25.0,1.0,,,fp16,0.041397,,,,0.1111111111111111,0.0,0,0.2991450484195441,0.0,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,alpha,scaffolded,9,0.0,0.571131,,,,,cuda,0.614539,9.696416799999998,,1174.0,1.0,1.0,,0.0,,,,,,0.0,45.2263,26.0,0.0,,,fp16,0.044118,0.0,0.0,0.0,0.0,0.0,0,0.2991450484195441,0.0,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,beta,scaffolded,9,0.0,11.658376,,,,,cuda,11.707487,11.7452874,,1243.0,1.0,1.0,,0.0,,,,,,0.0,43.9169,512.0,0.0,,,fp16,0.048974,0.0,0.0,0.0,0.0,0.0,0,0.2991450484195441,0.0,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,gamma,scaffolded,9,0.2222222222222222,0.572886,,,,,cuda,0.615709,7.330439199999995,,1281.0,1.0,1.0,,0.1111111111111111,,,,,,0.1111111111111111,45.2092,26.0,0.7777777777777778,,,fp16,0.043024,0.0,0.0,0.0,0.1111111111111111,0.0,0,0.2991450484195441,0.0,,0.0
